id,weekly_increase_rate_plan
example_0080,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0081,"Week1
SET1 45%x5
SET2 55%x5
SET3 65%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0082,"Week1
SET1 60%x5
SET2 65%x5
SET3 70%x5+

Week2
SET1 65%x3
SET2 70%x3
SET3 75%x3+

Week3
SET1 70%x5
SET2 75%x3
SET3 80%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0083,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0084,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0085,"Week1
SET1 55%x5
SET2 65%x5
SET3 75%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 65%x5
SET2 75%x3
SET3 85%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0086,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0087,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 65%x3
SET2 75%x3
SET3 85%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0088,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0089,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0090,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 50%x5
SET2 55%x5
SET3 60%x5
"
example_0091,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 55%x3
SET2 65%x3
SET3 75%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0092,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 30%x5
SET2 40%x5
SET3 50%x5
"
example_0093,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 70%x3
SET2 75%x3
SET3 80%x3+

Week3
SET1 75%x5
SET2 80%x3
SET3 85%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0094,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 75%x3
SET2 85%x3
SET3 95%x3+

Week3
SET1 85%x5
SET2 95%x3
SET3 105%x1+

Week4
SET1 50%x5
SET2 60%x5
SET3 70%x5
"
example_0095,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0096,"Week1
SET1 50%x5
SET2 55%x5
SET3 60%x5+

Week2
SET1 55%x3
SET2 60%x3
SET3 65%x3+

Week3
SET1 60%x5
SET2 65%x3
SET3 70%x1+

Week4
SET1 40%x5
SET2 45%x5
SET3 50%x5
"
example_0097,"Week1
SET1 65%x5
SET2 70%x5
SET3 75%x5+

Week2
SET1 75%x3
SET2 80%x3
SET3 85%x3+

Week3
SET1 85%x5
SET2 90%x3
SET3 95%x1+

Week4
SET1 60%x5
SET2 65%x5
SET3 70%x5
"
example_0098,"Week1
SET1 65%x5
SET2 75%x5
SET3 85%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 75%x5
SET2 85%x3
SET3 95%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
example_0099,"Week1
SET1 60%x5
SET2 70%x5
SET3 80%x5+

Week2
SET1 70%x3
SET2 80%x3
SET3 90%x3+

Week3
SET1 80%x5
SET2 90%x3
SET3 100%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0100,"Week1
SET1 40%x5
SET2 45%x5
SET3 50%x5+

Week2
SET1 45%x3
SET2 50%x3
SET3 55%x3+

Week3
SET1 50%x5
SET2 55%x3
SET3 60%x1+

Week4
SET1 30%x5
SET2 35%x5
SET3 40%x5
"
example_0101,"Week1
SET1 40%x5
SET2 50%x5
SET3 60%x5+

Week2
SET1 50%x3
SET2 60%x3
SET3 70%x3+

Week3
SET1 60%x5
SET2 70%x3
SET3 80%x1+

Week4
SET1 60%x5
SET2 70%x5
SET3 80%x5
"
example_0102,"Week1
SET1 50%x5
SET2 60%x5
SET3 70%x5+

Week2
SET1 60%x3
SET2 70%x3
SET3 80%x3+

Week3
SET1 70%x5
SET2 80%x3
SET3 90%x1+

Week4
SET1 40%x5
SET2 50%x5
SET3 60%x5
"
